filepath,transcription
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/2/2_12.wav,bật đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Ha_clean/9/ha_9_13.wav,bật nhạc lên
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/7/7_55.wav,tối quá
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/5/Recording_282.wav,tắt đèn đi
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/2/2_38.wav,bật đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Ha_clean/16/ha_16_15.wav,bật tv
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/16/thanh_17_29.wav,bật tv
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/16/Recording_894.wav,bật tv
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/0/thanh_1_16.wav,xoay ghế trái
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/4/Recording_260.wav,tắt đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Ha_clean/12/ha_12_42.wav,bật màn hình
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Ha_clean/14/ha_14_43.wav,bật laptop
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/4/4_4.wav,tắt đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/4/4_8.wav,tắt đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/7/7_41.wav,tối quá
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/2/2_28.wav,bật đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/6/Recording_336.wav,sáng quá
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/1/1_2.wav,xoay ghế phải
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/0/thanh_1_34.wav,xoay ghế trái
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/14/14_22.wav,bật laptop
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/13/thanh_14_41.wav,tắt màn hình
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/9/Recording_522.wav,bật nhạc lên
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/7/7_56.wav,tối quá
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/9/Recording_527.wav,bật nhạc lên
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/15/Recording_842.wav,tắt laptop
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/14/14_8.wav,bật laptop
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/11/thanh_12_22.wav,chuyển nhạc
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/9/Recording_521.wav,bật nhạc lên
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Ha_clean/9/ha_9_5.wav,bật nhạc lên
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/13/thanh_14_9.wav,tắt màn hình
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/6/Recording_339.wav,sáng quá
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/4/Recording_237.wav,tắt đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Ha_clean/15/ha_15_4.wav,tắt laptop
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hung_clean/0/Recording_11.wav,xoay ghế trái
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/2/2_34.wav,bật đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/15/thanh_16_43.wav,tắt laptop
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Ha_clean/4/ha_4_7.wav,tắt đèn
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/0/0_3.wav,xoay ghế trái
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/0/thanh_1_38.wav,xoay ghế trái
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/6/thanh_7_16.wav,sáng quá
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Hoang_clean/5/5_19.wav,tắt đèn đi
/home/jonnyjack/workspace/UET/speech_processing/speech_dataset/Thanh_clean/15/thanh_16_13.wav,tắt laptop
