PATH	DURATION	TRANSCRIPT
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R001.wav	3.000000	khách sạn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R002.wav	4.937500	chỉ bằng cách luôn nỗ lực thì cuối cùng bạn mới được đền đáp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R003.wav	4.343750	trong số các quốc gia công nghiệp phát triển
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R004.wav	4.968750	anh đã nhìn thấy trong những lải nhải dông dài của nhu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R005.wav	3.250000	khủng hoảng môi trường cần được ngăn chặn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R006.wav	4.500000	trông thấy tàu cá đằng xa anh đã ấn còi cảnh báo
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R007.wav	5.218750	mấy sào ruộng của gia đình ông đành bỏ hoang cho cỏ mọc
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R008.wav	3.312500	có đêm gặp phải heo nọc nó rượt
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R009.wav	4.687500	các bàn học nhỏ hằng ngày nay trở thành bàn thờ của các cháu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R010.wav	5.375000	cha mẹ tôi thường chì chiết nhau bằng những lời lẽ khó nghe
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R011.wav	5.156250	hấp dẫn nhất là cuộc thi bơi thuyền truyền thống
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R012.wav	3.281250	với những cờ líp nhạc truyền hình
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R013.wav	2.906250	một trong những cách tốt nhất
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R014.wav	2.468750	ăn cắp phỗng tượng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R015.wav	3.250000	tới vỗ vai hỏi về chiếc áo mới mua
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R016.wav	3.875000	bào chế những loại thuốc chữa nghiện ma tuý
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R017.wav	3.281250	những mái ngói âm dương cổ kính
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R018.wav	2.781250	mặt mũi nó còn càu cạu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R019.wav	4.812500	nắng đào làm ửng hồng những đôi má thiếu nữ hà thành
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R020.wav	3.687500	chiếc ổ thường xuyên được khoá chặt vào bàn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R021.wav	4.875000	làm tóc kiểu này trông bạn quý phái một cách tự nhiên
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R022.wav	4.062500	đồng nghiệp tây bảo nhạc của tôi chỉ thoáng nghe
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R023.wav	3.500000	đâu là tình yêu đích thực
